"DateTime","E07SP"
"16.04.2005 09:56:30",78
"16.04.2005 09:56:40",99
"16.04.2005 09:56:50",100
"16.04.2005 13:15:10",99
"16.04.2005 14:05:10",87
"16.04.2005 14:05:20",66
"16.04.2005 14:05:30",56
"16.04.2005 14:05:40",35
"16.04.2005 14:05:50",14
"16.04.2005 14:06:00",0
"16.04.2005 14:06:10",0
"17.04.2005 10:24:30",13
"17.04.2005 10:24:40",34
"17.04.2005 10:24:50",44
"17.04.2005 10:25:00",65
"17.04.2005 10:25:10",86
"17.04.2005 10:25:20",100
"17.04.2005 10:25:30",100
"17.04.2005 10:44:30",99
"17.04.2005 11:25:30",100
"17.04.2005 13:15:10",99
"17.04.2005 14:05:10",87
"17.04.2005 14:05:20",66
"17.04.2005 14:05:30",56
"17.04.2005 14:05:40",35
"17.04.2005 14:05:50",14
"17.04.2005 14:06:00",0
"17.04.2005 14:06:10",0
"18.04.2005 12:23:50",3
"18.04.2005 12:24:00",13
"18.04.2005 12:24:10",34
"18.04.2005 12:24:20",55
"18.04.2005 12:24:30",65
"18.04.2005 12:24:40",86
"18.04.2005 12:24:50",100
"18.04.2005 13:15:10",99
"18.04.2005 13:36:20",77
"18.04.2005 13:36:30",56
"18.04.2005 13:36:40",45
"18.04.2005 13:36:50",24
"18.04.2005 13:37:00",3
"18.04.2005 13:37:10",0
"21.04.2005 09:37:20",4
"21.04.2005 09:37:30",25
"21.04.2005 09:37:40",38
"21.04.2005 10:58:40",34
"21.04.2005 10:58:50",13
"21.04.2005 10:59:00",0
"26.04.2005 07:36:20",0
"26.04.2005 07:36:30",0
"26.04.2005 11:59:10",1
"26.04.2005 11:59:20",13
"26.04.2005 11:59:30",6
"26.04.2005 11:59:40",0
"27.04.2005 10:12:30",3
"27.04.2005 10:12:40",23
"27.04.2005 10:12:50",44
"27.04.2005 10:13:00",55
"27.04.2005 10:13:10",76
"27.04.2005 10:13:20",97
"27.04.2005 10:13:30",100
"27.04.2005 12:30:20",99
"27.04.2005 13:09:40",96
"27.04.2005 13:09:50",75
"27.04.2005 13:10:00",65
"27.04.2005 13:10:10",44
"27.04.2005 13:10:20",33
"27.04.2005 13:10:30",12
"27.04.2005 13:10:40",0
"28.04.2005 09:00:10",14
"28.04.2005 09:00:20",25
"28.04.2005 09:00:30",46
"28.04.2005 09:00:40",67
"28.04.2005 09:00:50",88
"28.04.2005 09:01:00",100
"28.04.2005 09:16:00",96
"28.04.2005 09:16:10",86
"28.04.2005 09:16:20",65
"28.04.2005 09:16:30",44
"28.04.2005 09:16:40",33
"28.04.2005 09:16:50",12
"28.04.2005 09:17:00",0
"28.04.2005 09:17:10",0
"28.04.2005 11:17:50",5
"28.04.2005 11:18:00",0
"29.04.2005 12:36:20",7
"29.04.2005 12:36:30",0
"30.04.2005 09:00:10",14
"30.04.2005 09:00:20",35
"30.04.2005 09:00:30",46
"30.04.2005 09:00:40",67
"30.04.2005 09:00:50",88
"30.04.2005 09:01:00",100
"30.04.2005 09:01:10",100
"30.04.2005 12:51:20",99
"30.04.2005 14:05:20",77
"30.04.2005 14:05:30",56
"30.04.2005 14:05:40",35
"30.04.2005 14:05:50",24
"30.04.2005 14:06:00",3
"30.04.2005 14:06:10",0
"01.05.2005 08:45:10",14
"01.05.2005 08:45:20",35
"01.05.2005 08:45:30",46
"01.05.2005 08:45:40",67
"01.05.2005 08:45:50",88
"01.05.2005 08:46:00",100
"01.05.2005 12:48:10",99
"01.05.2005 14:05:10",87
"01.05.2005 14:05:20",66
"01.05.2005 14:05:30",56
"01.05.2005 14:05:40",35
"01.05.2005 14:05:50",14
"01.05.2005 14:06:00",0
"01.05.2005 14:06:10",0
"02.05.2005 08:45:00",2
"02.05.2005 08:45:10",14
"02.05.2005 08:45:20",29
"02.05.2005 10:49:00",42
"02.05.2005 10:49:10",52
"02.05.2005 10:49:20",59
"02.05.2005 10:49:30",59
"02.05.2005 12:51:40",39
"02.05.2005 12:51:50",18
"02.05.2005 12:52:00",0
"02.05.2005 12:52:10",0
"03.05.2005 09:42:30",4
"03.05.2005 09:42:40",25
"03.05.2005 09:42:50",36
"03.05.2005 09:43:00",57
"03.05.2005 09:43:10",78
"03.05.2005 09:43:20",99
"03.05.2005 09:43:30",100
"03.05.2005 10:09:50",86
"03.05.2005 10:10:00",65
"03.05.2005 10:10:10",44
"03.05.2005 10:10:20",33
"03.05.2005 10:10:30",12
"03.05.2005 10:10:40",0
"03.05.2005 10:10:50",0
"03.05.2005 12:21:20",15
"03.05.2005 12:21:30",25
"03.05.2005 12:21:40",46
"03.05.2005 12:21:50",67
"03.05.2005 12:22:00",88
"03.05.2005 12:22:10",100
"03.05.2005 13:15:10",99
"03.05.2005 14:05:20",66
"03.05.2005 14:05:30",56
"03.05.2005 14:05:40",35
"03.05.2005 14:05:50",14
"03.05.2005 14:06:00",0
"03.05.2005 14:06:10",0
"04.05.2005 11:46:20",13
"04.05.2005 11:46:30",23
"04.05.2005 11:46:40",44
"04.05.2005 11:46:50",65
"04.05.2005 11:47:00",86
"04.05.2005 11:47:10",97
"04.05.2005 11:47:20",100
"04.05.2005 12:31:00",86
"04.05.2005 12:31:10",65
"04.05.2005 12:31:20",54
"04.05.2005 12:31:30",33
"04.05.2005 12:31:40",12
"04.05.2005 12:31:50",0
"04.05.2005 12:32:00",0
"05.05.2005 09:34:30",3
"05.05.2005 09:34:40",23
"05.05.2005 09:34:50",44
"05.05.2005 09:35:00",55
"05.05.2005 09:35:10",76
"05.05.2005 09:35:20",100
"05.05.2005 09:35:30",100
"05.05.2005 09:55:30",99
"05.05.2005 10:28:30",100
"05.05.2005 12:48:10",99
"05.05.2005 14:05:20",66
"05.05.2005 14:05:30",56
"05.05.2005 14:05:40",35
"05.05.2005 14:05:50",14
"05.05.2005 14:06:00",0
"05.05.2005 14:06:10",0
"06.05.2005 10:13:30",15
"06.05.2005 10:13:40",36
"06.05.2005 10:13:50",46
"06.05.2005 10:14:00",67
"06.05.2005 10:14:10",88
"06.05.2005 10:14:20",100
"06.05.2005 10:22:30",99
"06.05.2005 14:05:10",87
"06.05.2005 14:05:20",66
"06.05.2005 14:05:30",56
"06.05.2005 14:05:40",35
"06.05.2005 14:05:50",14
"06.05.2005 14:06:00",0
"06.05.2005 14:06:10",0
"10.05.2005 09:24:20",14
"10.05.2005 09:24:30",33
"10.05.2005 10:01:40",29
"10.05.2005 10:01:50",19
"10.05.2005 10:02:00",0
"11.05.2005 09:07:20",14
"11.05.2005 09:07:30",35
"11.05.2005 09:07:40",39
"11.05.2005 13:10:10",35
"11.05.2005 13:10:20",14
"11.05.2005 13:10:30",0
"11.05.2005 13:10:40",0
"13.05.2005 09:06:20",14
"13.05.2005 09:06:30",35
"13.05.2005 09:06:40",46
"13.05.2005 12:11:50",44
"13.05.2005 12:12:00",32
"13.05.2005 12:12:10",11
"13.05.2005 12:12:20",0
"13.05.2005 12:12:30",0
"15.05.2005 08:45:10",14
"15.05.2005 08:45:20",35
"15.05.2005 08:45:30",46
"15.05.2005 08:45:40",67
"15.05.2005 08:45:50",88
"15.05.2005 08:46:00",100
"15.05.2005 12:44:10",99
"15.05.2005 14:05:10",87
"15.05.2005 14:05:20",77
"15.05.2005 14:05:30",56
"15.05.2005 14:05:40",35
"15.05.2005 14:05:50",14
"15.05.2005 14:06:00",3
"15.05.2005 14:06:10",0
"16.05.2005 08:30:10",14
"16.05.2005 08:30:20",25
"16.05.2005 08:30:30",46
"16.05.2005 08:30:40",67
"16.05.2005 08:30:50",88
"16.05.2005 08:31:00",100
"16.05.2005 08:31:10",100
"16.05.2005 13:03:00",99
"16.05.2005 13:03:10",99
"16.05.2005 14:05:10",87
"16.05.2005 14:05:20",77
"16.05.2005 14:05:30",56
"16.05.2005 14:05:40",35
"16.05.2005 14:05:50",14
"16.05.2005 14:06:00",0
"16.05.2005 14:06:10",0
"17.05.2005 09:43:20",4
"17.05.2005 09:43:30",25
"17.05.2005 09:43:40",35
"17.05.2005 09:43:50",56
"17.05.2005 09:44:00",77
"17.05.2005 09:44:10",98
"17.05.2005 09:44:20",100
"17.05.2005 12:12:10",99
"17.05.2005 14:05:20",77
"17.05.2005 14:05:30",56
"17.05.2005 14:05:40",35
"17.05.2005 14:05:50",14
"17.05.2005 14:06:00",3
"17.05.2005 14:06:10",0
"20.05.2005 08:40:30",13
"20.05.2005 08:40:40",34
"20.05.2005 08:40:50",44
"20.05.2005 08:41:00",66
